Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779760019045077,0.006821203641387129,0.0,1.0,1.0,1.0,1.0,-0.08057105349524118,0.0,0.0,0.8206214689265536,0.009887005649717515,0.1694915254237288,2124.0,2001.3,2103.0,0.5077576741299472,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9015515348259895
Bank,0.5534290186784346,0.11778637925426916,0.21385867004079678,0.34868468949679193,0.35915088927137123,0.3484522888863342,0.6671374764595104,-0.07413224561238996,-0.04090452261306532,-0.04315723524447135,0.7311676082862524,0.0009416195856873823,0.2678907721280603,1497.9,1540.9,1635.8,0.5470950494104172,4.0,0.7909911231751157,2.0,0.5000393688505662,8.0,0.6895228361819586,3.0,0.6671374764595104,2.0,0.22245596384832275,6.0,0.13343857836760395,10.0,0.6141864414723925
Compromise Programming,0.47415949004252117,0.1005593625318396,0.21365840641359973,0.3572843594552348,0.4162618728883789,0.3420654909709842,0.5833333333333334,0.022879647428383887,0.04898779612347459,-0.05143899367803417,0.6271186440677966,0.10969868173258004,0.2631826741996234,1465.9,1491.2,1606.7,0.8602186470616318,1.0,0.7496882106962068,3.0,0.40409825607964,10.0,0.5807821935470456,5.0,0.5833333333333334,5.0,0.2231840792385263,5.0,0.26796968706023583,8.0,0.6023531526709969
Outcome_Pred_Model,0.5200643358089715,0.10518820381205703,0.21385867004079678,0.3509284754525694,0.3463377318799006,0.34204418857483043,0.635593220338983,-0.0851657367902855,-0.057157214644651844,-0.046058918851539454,0.6878531073446328,0.044256120527306965,0.2678907721280603,1484.5,1517.9,1621.9,0.479686828662816,6.0,0.7079451250825324,4.0,0.46642443593450134,9.0,0.6437537100250539,4.0,0.635593220338983,4.0,0.22245596384832275,6.0,0.23182163197771613,9.0,0.5722102830600675
Nash Bargaining,0.14877751905152478,0.03169322311707633,0.21393215387434603,0.3557736261887732,0.3134745330528463,0.24664843241567116,0.3248587570621469,0.03693719036679327,0.08060301507537687,0.014605647517039966,0.3130885122410546,0.4213747645951036,0.2655367231638418,1356.6999999999998,1305.7,1490.3999999999999,0.7743352270014798,2.0,0.5881446702369599,5.0,0.830798967783718,3.0,0.13442852857337148,6.0,0.3248587570621469,6.0,0.22218879246584441,8.0,0.8057666971941443,7.0,0.4778560474965726
Kalai-Smorodinsky,0.14526581246047984,0.031359933792961314,0.2136577192025397,0.3542473053783717,0.3093277873398355,0.24302966646690174,0.3182674199623352,0.04415740697329146,0.08564249820531228,0.009985935302391002,0.3074387947269303,0.4293785310734463,0.2631826741996234,1354.7,1303.1,1488.1,0.7302238984102736,3.0,0.5623945418531289,6.0,0.8843166276032386,2.0,0.12961122691879245,7.0,0.3182674199623352,7.0,0.22318657778984152,4.0,0.8083694567439293,6.0,0.4761373185713951
Regulatory,0.5860370305492913,0.1348734949652381,0.16190922290470797,0.3290936050574131,0.32229553133167593,0.3245162914544977,0.6596045197740112,0.1531561098348102,0.14848528356066049,-0.086321267227083,0.7589453860640302,0.02871939736346516,0.2123352165725047,1513.5,1591.8,1649.5,0.06430515109562229,10.0,0.24128824004108274,7.0,0.0,11.0,0.7342539734411422,2.0,0.6596045197740112,3.0,0.4113329581471142,2.0,0.0,11.0,0.4235536328169574
Nash Social Welfare,0.07941643564776346,0.015298689061991815,0.21464782063443402,0.36744011878574684,0.4176706827309236,0.22567754264393192,0.2707156308851224,0.12118086486317534,0.15531945441493183,-0.022641721445024965,0.23634651600753295,0.4952919020715631,0.268361581920904,1333.1,1270.7,1473.2,0.25965532057096485,7.0,0.20636783801628633,8.0,0.737704019271844,5.0,0.03928012901846737,8.0,0.2707156308851224,8.0,0.2195867823576161,9.0,0.9337966909224242,4.0,0.31561414612630423
Proportional Fairness,0.07941643564776346,0.015298689061991815,0.21464782063443402,0.36744011878574684,0.4176706827309236,0.22567754264393192,0.2707156308851224,0.12118086486317534,0.15531945441493183,-0.022641721445024965,0.23634651600753295,0.4952919020715631,0.268361581920904,1333.1,1270.7,1473.2,0.25965532057096485,7.0,0.20636783801628633,8.0,0.737704019271844,5.0,0.03928012901846737,8.0,0.2707156308851224,8.0,0.2195867823576161,9.0,0.9337966909224242,4.0,0.31561414612630423
Maximin,0.06089695191496263,0.011469677755916289,0.2750438047203784,0.36207576089505644,0.31714636323070056,0.21311456237234605,0.2518832391713748,0.12408770531514213,0.15619526202440773,-0.01892038359133852,0.2080979284369115,0.4684557438794727,0.3234463276836158,1289.6,1213.1,1454.1,0.24189621425502472,9.0,0.20189274447949546,10.0,0.7808143439140532,4.0,0.013875404188815629,10.0,0.2518832391713748,10.0,0.0,11.0,0.9636986260341651,2.0,0.30807048814012866
Applicant,0.05078208848369711,0.011711401071034098,0.2107095689137345,0.3664877446370312,0.4066998151335501,0.19519837557819622,0.2123352165725047,0.16368168534233518,0.1957071069633884,-0.025463839454751946,0.17278719397363465,0.5734463276836158,0.2537664783427495,1323.4,1245.5,1456.1,0.0,11.0,0.0,11.0,0.7050108244152056,7.0,0.0,11.0,0.2123352165725047,11.0,0.23390541689186178,3.0,0.961810933806101,3.0,0.225936251512043
