config_id,Actor/Criterion,weighted_sum_mean,weighted_sum_sem,n_seeds,rank_within_config,is_consensus_winner,consensus_winner_stability,weight_Demographic_Parity,weight_Total_cognitive_score,weight_Avg_outcome_difference,weight_Percentage_treated,weight_Mean_outcome_treated,weight_Mean_outcome_control,weight_Accuracy,weight_Mean_Regret,weight_Cost_effectiveness
3,Healthcare_Provider,0.08227513227513235,0.06523779485591918,3,9,False,,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
4,Policy_Maker,0.8145918548409293,0.10510078489204971,3,1,True,0.6666666666666666,0.333333,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
4,Compromise Programming,0.5471434136710105,0.08092971589549648,3,2,False,,0.333333,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
4,Nash Bargaining,0.5441431625060199,0.0328012307967137,3,3,False,,0.333333,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
4,Parent,0.5323521640724146,0.03619444657338913,3,4,False,,0.333333,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
4,Kalai-Smorodinsky,0.4369898090958064,0.28067942911772853,3,5,False,,0.333333,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
4,Nash Social Welfare,0.2829861693382127,0.14051689164402378,3,6,False,,0.333333,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
4,Proportional Fairness,0.2829861693382127,0.14051689164402378,3,7,False,,0.333333,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
4,Maximin,0.1636388617144621,0.03873493828174461,3,8,False,,0.333333,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
4,Healthcare_Provider,0.10970017636684311,0.0869837264745589,3,9,False,,0.333333,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0
5,Policy_Maker,0.8233806001780382,0.09887216483596137,3,1,True,0.6666666666666666,0.416667,0.0,0.583333,0.0,0.0,0.0,0.0,0.0,0.0
5,Nash Bargaining,0.5757320392367781,0.05046086024273787,3,2,False,,0.416667,0.0,0.583333,0.0,0.0,0.0,0.0,0.0,0.0
5,Parent,0.5617289223816312,0.04746037534139994,3,3,False,,0.416667,0.0,0.583333,0.0,0.0,0.0,0.0,0.0,0.0
5,Compromise Programming,0.5463118094920759,0.0915493716894847,3,4,False,,0.416667,0.0,0.583333,0.0,0.0,0.0,0.0,0.0,0.0
5,Kalai-Smorodinsky,0.4629039280364247,0.27070542617918364,3,5,False,,0.416667,0.0,0.583333,0.0,0.0,0.0,0.0,0.0,0.0
5,Nash Social Welfare,0.2956055261844847,0.15194865675522085,3,6,False,,0.416667,0.0,0.583333,0.0,0.0,0.0,0.0,0.0,0.0
5,Proportional Fairness,0.2956055261844847,0.15194865675522085,3,7,False,,0.416667,0.0,0.583333,0.0,0.0,0.0,0.0,0.0,0.0
5,Maximin,0.17563983849573783,0.0505981137983828,3,8,False,,0.416667,0.0,0.583333,0.0,0.0,0.0,0.0,0.0,0.0
5,Healthcare_Provider,0.1371252204585539,0.10872965809319865,3,9,False,,0.416667,0.0,0.583333,0.0,0.0,0.0,0.0,0.0,0.0
6,Policy_Maker,0.8321693455151472,0.09264913757043786,3,1,True,0.6666666666666666,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
6,Nash Bargaining,0.607320915967536,0.07037658664089905,3,2,False,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
6,Parent,0.5911056806908477,0.06160989570873633,3,3,False,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
6,Compromise Programming,0.5454802053131415,0.10433141121572732,3,4,False,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
6,Kalai-Smorodinsky,0.48881804697704295,0.2623263708573318,3,5,False,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
6,Nash Social Welfare,0.3082248830307566,0.16459063408637062,3,6,False,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
6,Proportional Fairness,0.3082248830307566,0.16459063408637062,3,7,False,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
6,Maximin,0.18764081527701348,0.062474096011469984,3,8,False,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
6,Healthcare_Provider,0.1645502645502647,0.13047558971183837,3,9,False,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
7,Policy_Maker,0.8409580908522564,0.08643291111905309,3,1,True,0.3333333333333333,0.583333,0.0,0.416667,0.0,0.0,0.0,0.0,0.0,0.0
7,Nash Bargaining,0.6389097926982941,0.09108027961166919,3,2,False,,0.583333,0.0,0.416667,0.0,0.0,0.0,0.0,0.0,0.0
7,Parent,0.6204824390000643,0.0770708377263304,3,3,False,,0.583333,0.0,0.416667,0.0,0.0,0.0,0.0,0.0,0.0
7,Compromise Programming,0.5446486011342069,0.1185786095529168,3,4,False,,0.583333,0.0,0.416667,0.0,0.0,0.0,0.0,0.0,0.0
7,Kalai-Smorodinsky,0.5147321659176612,0.25569910673060403,3,5,False,,0.583333,0.0,0.416667,0.0,0.0,0.0,0.0,0.0,0.0
7,Nash Social Welfare,0.32084423987702865,0.17818542155578046,3,6,False,,0.583333,0.0,0.416667,0.0,0.0,0.0,0.0,0.0,0.0
7,Proportional Fairness,0.32084423987702865,0.17818542155578046,3,7,False,,0.583333,0.0,0.416667,0.0,0.0,0.0,0.0,0.0,0.0
7,Maximin,0.19964179205828916,0.07435674886101049,3,8,False,,0.583333,0.0,0.416667,0.0,0.0,0.0,0.0,0.0,0.0
7,Healthcare_Provider,0.19197530864197546,0.15222152133047812,3,9,False,,0.583333,0.0,0.416667,0.0,0.0,0.0,0.0,0.0,0.0
8,Policy_Maker,0.8497468361893651,0.08022506637737438,3,1,True,0.3333333333333333,0.666667,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
8,Nash Bargaining,0.670498669429052,0.11213633923570324,3,2,False,,0.666667,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
8,Parent,0.6498591973092808,0.0931927656169592,3,3,False,,0.666667,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
8,Compromise Programming,0.5438169969552723,0.13382382929976674,3,4,False,,0.666667,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
8,Kalai-Smorodinsky,0.5406462848582795,0.2509624529084077,3,5,False,,0.666667,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
8,Nash Social Welfare,0.33346359672330056,0.19253128880233697,3,6,False,,0.666667,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
