Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779694422409314,0.006742789844966231,0.0,1.0,1.0,1.0,1.0,-0.0728940217391304,0.0,0.0,0.82015065913371,0.009887005649717515,0.1699623352165725,2124.0,2001.2,2103.3999999999996,0.5357297387252457,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9071459477450492
Bank,0.5227359246862525,0.11534912994657379,0.24380424653961358,0.34453007646225586,0.3532693447317006,0.3407398685212651,0.6440677966101694,-0.06574519230769227,-0.06941448997523769,-0.07713087846698619,0.7015065913370998,0.003295668549905838,0.2951977401129944,1457.6,1499.6,1615.9,0.5812614411715762,3.0,0.6182457167960167,4.0,0.09526185543936383,8.0,0.6498988599759153,3.0,0.6440677966101694,3.0,0.19142856480107992,7.0,0.1399397773004035,10.0,0.522911549961439
Outcome_Pred_Model,0.4942866951738355,0.10739281181781843,0.24380424653961358,0.34544206723072723,0.34331909597548166,0.3352143574393512,0.6195856873822976,-0.0615541387959867,-0.067710413504806,-0.08039497881186541,0.6699623352165726,0.03483992467043315,0.2951977401129944,1447.1999999999998,1482.6,1605.4,0.6079547345648189,2.0,0.6276175135451751,3.0,0.05697425715990456,9.0,0.6111373176515257,4.0,0.6195856873822976,4.0,0.19142856480107992,7.0,0.20294634519767565,9.0,0.5030475368281688
Compromise Programming,0.4534536133636739,0.10010637562372306,0.24216153606733432,0.34617620139390887,0.3383104769800102,0.326240129064499,0.577683615819209,0.05126463210702337,0.043347445216604163,-0.0851074108666946,0.6228813559322034,0.0908662900188324,0.2862523540489642,1436.9,1468.6,1595.6,0.6734897653519722,1.0,0.7616049201932928,2.0,0.0016978604898069127,10.0,0.5555030085350333,5.0,0.577683615819209,5.0,0.1968765780454732,5.0,0.2606480772504926,8.0,0.4772115732030461
Regulatory,0.5709852931052772,0.13302038905855268,0.18235549319038283,0.33428628448835007,0.33201666926395085,0.3303638716495975,0.6530131826741996,0.15691367056856187,0.1458050430013047,-0.08525215713596657,0.7401129943502824,0.01977401129943503,0.2401129943502825,1497.6,1565.8,1644.9,0.000599101347977915,10.0,0.19812564065016813,8.0,0.0,11.0,0.7156377206815389,2.0,0.6530131826741996,2.0,0.3952220072532768,2.0,0.0,11.0,0.4044526374755832
Applicant,0.04573937814586371,0.010620481559095053,0.23783410834077537,0.3589640849154123,0.34054896239127436,0.18373300950997273,0.19915254237288135,0.15700773411371235,0.18183028463402293,-0.029444239970555786,0.1596045197740113,0.5649717514124294,0.2754237288135593,1292.9,1214.9,1440.8999999999999,0.0,11.0,0.0,11.0,0.6546217602025496,2.0,0.0,11.0,0.19915254237288135,11.0,0.2112283971677658,3.0,0.9692923231176571,2.0,0.21058536898966246
Nash Social Welfare,0.07292114222334967,0.013956540638651082,0.24380424653961358,0.3615326144005089,0.352221470549498,0.21387102049412476,0.2556497175141243,0.12508361204013377,0.13840296083286738,-0.06810787671232876,0.2193973634651601,0.4854048964218456,0.2951977401129944,1295.6,1235.4,1454.9,0.20332834082210016,6.0,0.23883438277932334,6.0,0.20110084013821272,4.0,0.0370346444103587,6.0,0.2556497175141243,6.0,0.19142856480107992,7.0,0.9428738680604508,5.0,0.19055265207978406
Proportional Fairness,0.07292114222334967,0.013956540638651082,0.24380424653961358,0.3615326144005089,0.352221470549498,0.21387102049412476,0.2556497175141243,0.12508361204013377,0.13840296083286738,-0.06810787671232876,0.2193973634651601,0.4854048964218456,0.2951977401129944,1295.6,1235.4,1454.9,0.20332834082210016,6.0,0.23883438277932334,6.0,0.20110084013821272,4.0,0.0370346444103587,6.0,0.2556497175141243,6.0,0.19142856480107992,7.0,0.9428738680604508,5.0,0.19055265207978406
Maximin,0.05635098512802362,0.011633465170446554,0.3015246840616306,0.35966569227870865,0.3162053925273837,0.20412536657746236,0.23775894538606404,0.1141983695652174,0.12445083473120855,-0.06979739010989006,0.18879472693032015,0.4651600753295669,0.346045197740113,1259.5,1180.6999999999998,1439.1999999999998,0.27265768014644687,5.0,0.31556596866305464,5.0,0.18128300262746533,7.0,0.014458115745779815,10.0,0.23775894538606404,9.0,0.0,11.0,0.9612704441964547,3.0,0.18878333785836401
Nash Bargaining,0.06543887245298813,0.013976407593627,0.24232489583329336,0.35821129060452184,0.3448255712902011,0.20602354022041192,0.24105461393596986,0.14746028428093644,0.16281918151077032,-0.06188257222739979,0.2062146892655367,0.5042372881355932,0.2895480225988701,1295.6,1231.5,1452.0,0.06080878681977031,8.0,0.1045541074827937,9.0,0.27412309193883744,3.0,0.026840191999625205,8.0,0.24105461393596986,8.0,0.1963347989653709,6.0,0.9427165404338596,7.0,0.16877625972603455
Kalai-Smorodinsky,0.06269748414110846,0.013629133220647965,0.24171850218858087,0.3567884455672606,0.34125669078329596,0.20280271048666368,0.23587570621468926,0.15286893812709026,0.16572143674947415,-0.06855342887371363,0.2019774011299435,0.5112994350282486,0.2867231638418079,1295.0,1230.3000000000002,1450.6999999999998,0.02636045931103359,9.0,0.08859276614438405,10.0,0.1958745540669493,6.0,0.023105101773995988,9.0,0.23587570621468926,10.0,0.1983458901853141,4.0,0.9454666273466751,4.0,0.1434183055162715
