Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8084365923635971,0.009715492375392551,0.0,1.0,1.0,1.0,1.0,-0.02778974579922444,0.0,0.0,0.8402255639097744,0.013157894736842105,0.14661654135338345,532.0,505.4,528.4,0.8373676248108928,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9674735249621785
Compromise Programming,0.4820687135821103,0.09917968608997267,0.23857359926319702,0.34886108103253405,0.4077488507018708,0.3382010803891922,0.5958646616541353,0.0005170185264972149,0.027917833800186753,0.0066425120772947155,0.6541353383458647,0.09586466165413533,0.25,370.6,377.9,405.20000000000005,0.9969742813918304,1.0,0.8574833174451859,2.0,0.9202898550724634,3.0,0.5633817403479922,5.0,0.5958646616541353,5.0,0.22727320142561497,4.0,0.16561257721275383,8.0,0.7344750400241113
Regulatory,0.5984816697672029,0.11693689968727132,0.17743637991461614,0.32914181541531196,0.32917455400676876,0.3266250910229968,0.6785714285714286,0.10336062042223171,0.10765639589168996,-0.02312235720518152,0.7725563909774437,0.015037593984962405,0.212406015037594,387.0,402.6,418.7,0.39510842158345993,7.0,0.45042897998093456,5.0,0.7225317135378219,5.0,0.7191201742902352,2.0,0.6785714285714286,2.0,0.42529330057686493,2.0,0.0,11.0,0.6387806333108749
Outcome_Pred_Model,0.5300294871304495,0.10146454155550524,0.24105505662201482,0.3367348226681812,0.33766420008030745,0.32942714863376404,0.6466165413533834,-0.1440758293838863,-0.1200746965452848,0.004535803898861213,0.7142857142857143,0.02443609022556391,0.26127819548872183,372.20000000000005,382.0,406.9,0.15683308119011574,9.0,0.3870352716873212,6.0,0.9455703532136654,2.0,0.6275441498241412,4.0,0.6466165413533834,4.0,0.2192358971865875,6.0,0.1443028824156455,9.0,0.6046361333869379
Bank,0.5513568868424207,0.1046508956903822,0.24105505662201482,0.33675044697066775,0.34586703378649686,0.334152585765489,0.6672932330827067,-0.16342093925032308,-0.1508870214752568,-0.010804871348777612,0.7387218045112782,0.0,0.26127819548872183,374.40000000000003,385.4,409.1,0.043620776601109745,10.0,0.22974261201143942,9.0,0.8703415438146687,4.0,0.6560761615524713,3.0,0.6672932330827067,3.0,0.2192358971865875,6.0,0.11458536410693039,10.0,0.5809249896267327
Nash Bargaining,0.07641366212010042,0.019284563410416195,0.24105505662201482,0.35056422628014533,0.4550483073973006,0.2015337171954292,0.2424812030075188,0.10331753554502368,0.13445378151260504,0.05366922234392113,0.21804511278195488,0.5225563909774437,0.2593984962406015,330.2,314.1,366.79999999999995,0.39536056480080695,6.0,0.31363203050524324,8.0,0.35596933187294677,7.0,0.020692296614550316,9.0,0.2424812030075188,9.0,0.2192358971865875,6.0,0.9107540996249962,4.0,0.25139691986066837
Nash Social Welfare,0.08574437513656956,0.020807187837381086,0.24105505662201482,0.3543697117777476,0.46752464537699434,0.2152214770901348,0.2650375939849624,0.06342093925032313,0.10364145658263305,0.08333333333333337,0.24060150375939848,0.4981203007518797,0.26127819548872183,333.4,317.30000000000007,369.3,0.6288451840645486,3.0,0.47092469018112504,3.0,0.0,9.0,0.033175019159959664,6.0,0.2650375939849624,6.0,0.2192358971865875,6.0,0.8965533493724279,6.0,0.23841907823888658
Proportional Fairness,0.08574437513656956,0.020807187837381086,0.24105505662201482,0.3543697117777476,0.46752464537699434,0.2152214770901348,0.2650375939849624,0.06342093925032313,0.10364145658263305,0.08333333333333337,0.24060150375939848,0.4981203007518797,0.26127819548872183,333.4,317.30000000000007,369.3,0.6288451840645486,3.0,0.47092469018112504,3.0,0.0,9.0,0.033175019159959664,6.0,0.2650375939849624,6.0,0.2192358971865875,6.0,0.8965533493724279,6.0,0.23841907823888658
Applicant,0.06094637278000131,0.016892336670637303,0.233863677968861,0.35427490028876146,0.44182625726249886,0.19046588319987431,0.21804511278195488,0.17087462300732442,0.1958916900093371,0.025252525252525193,0.19172932330827067,0.5770676691729323,0.231203007518797,336.6,318.1,369.29999999999995,0.0,11.0,0.0,11.0,0.6969696969696978,6.0,0.0,11.0,0.21804511278195488,11.0,0.24252837808619118,3.0,0.9330651921554322,3.0,0.22661198450672154
Maximin,0.06555861501321486,0.01585183289196914,0.30874249437620765,0.34663002114164904,0.3731756684776819,0.1946107249555824,0.23684210526315788,0.08315381301163291,0.12063492063492065,0.08333333333333337,0.20676691729323307,0.4699248120300752,0.3233082706766917,315.59999999999997,298.6,359.9,0.513363590519415,5.0,0.3841754051477597,7.0,0.0,9.0,0.006170304456669533,10.0,0.23684210526315788,10.0,0.0,11.0,0.9427694462288899,2.0,0.19864362110048006
Kalai-Smorodinsky,0.07658389952181618,0.019284563410416195,0.23857359926319702,0.3535972283650302,0.45728544386262504,0.20594460615161259,0.24812030075187969,0.14205084015510555,0.18169934640522875,0.06526038233355314,0.2236842105263158,0.5263157894736842,0.25,334.79999999999995,318.3,369.8,0.16868381240544628,8.0,0.07244995233555784,10.0,0.2168754119973627,8.0,0.020920041937841097,8.0,0.24812030075187969,8.0,0.22727320142561497,4.0,0.9107540996249962,4.0,0.1805439735688819
