Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.7827151327953432,0.0073965695425111016,0.0,1.0,1.0,1.0,1.0,-0.06600807196180325,0.0,0.0,0.8206214689265536,0.010828625235404897,0.16854990583804144,2124.0,2002.1999999999998,2104.4,0.6485484346690265,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9297096869338054
Bank,0.692451146657757,0.15485530265142702,0.07691306658513919,0.3690254500310366,0.3554345073830838,0.3537528555461107,0.7857815442561206,-0.0546994117491888,-0.047906911733873736,-0.060253699788583526,0.9152542372881356,0.00047080979284369113,0.08427495291902072,1696.9,1790.2,1752.9,0.7087599544937432,1.0,0.7675297731851825,2.0,0.23206308419476918,9.0,0.8763672534892893,3.0,0.7857815442561206,3.0,0.7479233835255219,4.0,0.037546538503300725,10.0,0.6777506761380085
Regulatory,0.7148524770315283,0.16060785612212888,0.05253543376942119,0.36269665380721766,0.34915827182098974,0.3452216481513024,0.786723163841808,0.05598934290010282,0.048100126206048865,-0.07383010432190762,0.9251412429378532,0.0018832391713747645,0.07297551789077213,1704.0,1807.0,1762.4,0.70189188050394,2.0,0.7665921921442678,3.0,0.059031017091389804,10.0,0.9070499002248507,2.0,0.786723163841808,2.0,0.8278191862892971,2.0,0.0,11.0,0.6482838251007593
Outcome_Pred_Model,0.6217090244813236,0.12369732668781151,0.13892912641610078,0.3846257675788718,0.37971465537595983,0.38169077004001445,0.7617702448210922,-0.0835448046638001,-0.06789022129223476,-0.050024231010177056,0.8432203389830508,0.009416195856873822,0.14736346516007534,1667.1,1726.9,1742.9,0.555176336746303,5.0,0.6705599553152869,4.0,0.3624382600193049,7.0,0.7794732071158286,4.0,0.7617702448210922,4.0,0.5446705524612083,5.0,0.24091260022894231,9.0,0.6441256587047242
Nash Bargaining,0.19361908026877755,0.046218768870880014,0.22602645767568566,0.3647985425279811,0.3419799930257598,0.27024812007328436,0.3653483992467043,0.0816323300535493,0.11338606307013688,-0.011244198744198686,0.371939736346516,0.4256120527306968,0.2024482109227872,1447.8000000000002,1401.4,1551.5,0.5653590640317981,4.0,0.4497895429791138,5.0,0.856692031616006,3.0,0.19312711471148036,6.0,0.3653483992467043,6.0,0.2592157975975525,10.0,0.7466100559883063,7.0,0.4691750017705387
Kalai-Smorodinsky,0.19071444220826117,0.04593993578733465,0.225937407231443,0.36439130335454223,0.3394938580095042,0.2677978978218621,0.3592278719397363,0.08721411801946766,0.11912905493457432,-0.010239955112525512,0.3653483992467043,0.4326741996233522,0.2019774011299435,1446.0,1397.9,1549.3000000000002,0.5356395454992346,6.0,0.4219214426778909,6.0,0.8694911752359015,2.0,0.1891486910188483,7.0,0.3592278719397363,7.0,0.25950765352889005,9.0,0.7484299812025004,6.0,0.4625470311266914
Compromise Programming,0.4783225889873177,0.10093838680471066,0.20838965936885573,0.3676846437080355,0.3454979802156217,0.35521979506683393,0.664783427495292,0.1878155583106914,0.1852227927302027,-0.07846178318619268,0.7245762711864406,0.0847457627118644,0.1906779661016949,1587.0,1637.2,1699.3999999999999,0.0,11.0,0.10119890682040344,7.0,0.0,11.0,0.583079721839389,5.0,0.664783427495292,5.0,0.3170190375412774,8.0,0.3894587053572609,8.0,0.3825293153659946
Applicant,0.052617414471448715,0.0125009865341453,0.06791355086345931,0.3773656567237736,0.28735493229612524,0.1608408565894292,0.185969868173258,0.17710306259727243,0.20607762288645978,-0.012708333333333321,0.1911487758945386,0.7476459510357816,0.06120527306967985,1457.0,1395.2,1501.8000000000002,0.05703731793985867,10.0,0.0,11.0,0.8380315509376586,4.0,0.0,11.0,0.185969868173258,11.0,0.777418599016881,3.0,0.9666838057065618,2.0,0.2534017210448066
Nash Social Welfare,0.08595352276067633,0.01680106799555488,0.20714552301608194,0.38065496358177825,0.31685208047104507,0.2467637180104639,0.2980225988700565,0.17158194623967923,0.1930418124339679,-0.04884423430522722,0.2791902071563089,0.5263653483992468,0.19444444444444445,1435.2,1371.3000000000002,1535.6,0.0864337982275033,7.0,0.06325679746254675,8.0,0.3774773868022083,5.0,0.04565978971384576,8.0,0.2980225988700565,8.0,0.3210965980412603,6.0,0.9386174565660563,4.0,0.2211232344967341
Proportional Fairness,0.08595352276067633,0.01680106799555488,0.20714552301608194,0.38065496358177825,0.31685208047104507,0.2467637180104639,0.2980225988700565,0.17158194623967923,0.1930418124339679,-0.04884423430522722,0.2791902071563089,0.5263653483992468,0.19444444444444445,1435.2,1371.3000000000002,1535.6,0.0864337982275033,7.0,0.06325679746254675,8.0,0.3774773868022083,5.0,0.04565978971384576,8.0,0.2980225988700565,8.0,0.3210965980412603,6.0,0.9386174565660563,4.0,0.2211232344967341
