Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.8063006935264503,0.009261888678398722,0.0,1.0,1.0,1.0,1.0,0.005328441649196325,0.0,0.0,0.8383458646616542,0.013157894736842105,0.14849624060150377,532.0,505.3,528.8,0.9709246901811251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9941849380362251
Regulatory,0.7383192622658861,0.15258425145819832,0.051688490024912576,0.36327126688572475,0.34915138786399497,0.3456416464891041,0.8082706766917294,0.010482180293501009,0.01238198421297021,0.006981580510992291,0.9360902255639098,0.0018796992481203006,0.06203007518796992,437.20000000000005,459.1,447.29999999999995,0.9428026692087705,2.0,0.9297012302284706,2.0,0.7637898593780938,6.0,0.9098529931759546,2.0,0.8082706766917294,2.0,0.8532778308957962,2.0,0.0,11.0,0.8465973750292556
Compromise Programming,0.5084781734137092,0.1039433670671519,0.20130462405578456,0.3446925834022608,0.31986149741726744,0.33064426393679763,0.6560150375939849,0.10255066387141853,0.10023216220399311,0.0012793497892835681,0.7330827067669173,0.09210526315789473,0.17481203007518797,396.30000000000007,408.7,421.6,0.4404194470924695,8.0,0.43093145869947336,9.0,0.9567153321292392,2.0,0.6050714400222995,5.0,0.6560150375939849,5.0,0.4285797267837493,6.0,0.33938098317412085,8.0,0.6628472588863956
Bank,0.6935593715500744,0.14280996061618226,0.0964483807407242,0.3658536585365854,0.3538532856521163,0.3523976754881057,0.8026315789473685,-0.10316212438853956,-0.08398080792446982,0.025239100052067642,0.924812030075188,0.0,0.07518796992481203,433.6,453.3,443.6,0.4370829361296471,9.0,0.5231985940246051,5.0,0.14607711490504371,8.0,0.8504989887223522,3.0,0.8026315789473685,3.0,0.726223079411941,4.0,0.06819794659004662,10.0,0.607784439530356
Outcome_Pred_Model,0.6166447440809265,0.1343754673712548,0.17103411105336602,0.337101872112813,0.33912319539838415,0.3379561383565696,0.7481203007518797,-0.18326345213137674,-0.17613372542950012,0.015037593984962405,0.8590225563909775,0.005639097744360902,0.13533834586466165,409.0,427.1,427.9,0.0,11.0,0.0,11.0,0.491228070175438,7.0,0.7485060868554514,4.0,0.7481203007518797,4.0,0.514505148970995,5.0,0.12704775258917186,9.0,0.5471949517069299
Nash Social Welfare,0.07958186605582362,0.017082429333466275,0.2096378566945221,0.35490687423895945,0.3439359168768262,0.20368815893925096,0.25375939849624063,0.08604122990915444,0.09023370995201982,0.006064281382656134,0.2462406015037594,0.5808270676691729,0.17293233082706766,352.20000000000005,336.4,376.7,0.5305052430886561,5.0,0.4876977152899825,6.0,0.7948251465534673,4.0,0.03633204120019997,6.0,0.25375939849624063,6.0,0.4049251381545163,7.0,0.9454339120330927,5.0,0.37383624556696093
Proportional Fairness,0.07958186605582362,0.017082429333466275,0.2096378566945221,0.35490687423895945,0.3439359168768262,0.20368815893925096,0.25375939849624063,0.08604122990915444,0.09023370995201982,0.006064281382656134,0.2462406015037594,0.5808270676691729,0.17293233082706766,352.20000000000005,336.4,376.7,0.5305052430886561,5.0,0.4876977152899825,6.0,0.7948251465534673,4.0,0.03633204120019997,6.0,0.25375939849624063,6.0,0.4049251381545163,7.0,0.9454339120330927,5.0,0.37383624556696093
Applicant,0.05218323965186219,0.01721791340545391,0.08066117974584322,0.356558202543604,0.3236849147333339,0.14389780696236704,0.16353383458646617,0.12229210342417893,0.12007429190527782,0.0050055617352613435,0.17105263157894737,0.7725563909774437,0.05639097744360902,369.0,346.9,377.20000000000005,0.33269780743565314,10.0,0.31827768014059765,10.0,0.8306451612903243,3.0,0.0,11.0,0.16353383458646617,11.0,0.7710363903238396,3.0,0.9444886019687044,7.0,0.298082127579782
Kalai-Smorodinsky,0.06119096967560138,0.01676271374445386,0.3522882079817318,0.34376671940464076,0.3399584276010455,0.20409680687649115,0.24812030075187969,0.058612858141160046,0.04965175669401023,-0.026346377373111185,0.22180451127819548,0.4605263157894737,0.3176691729323308,322.09999999999997,302.90000000000003,365.0,0.6801715919923736,4.0,0.7181019332161687,4.0,0.1086142322097372,9.0,0.01194473086050227,10.0,0.24812030075187969,10.0,0.0,10.0,0.9476646566483179,3.0,0.2593942313132745
Nash Bargaining,0.06276782048542003,0.01676271374445386,0.3522882079817318,0.3446477707161468,0.34145319591195733,0.2060983320034956,0.2518796992481203,0.053895877009084575,0.0440179538771088,-0.029556650246305383,0.22556390977443608,0.4567669172932331,0.3176691729323308,322.5,303.5,365.4,0.7059103908484271,3.0,0.7500878734622145,3.0,0.0,11.0,0.014035719209488134,8.0,0.2518796992481203,9.0,0.0,10.0,0.9476646566483179,3.0,0.2447411017108312
Maximin,0.062382331977917885,0.01317018669923725,0.3011505285674548,0.37432066753099963,0.35608868057639126,0.2217560346053357,0.25375939849624063,0.09835779175401815,0.09388639529484599,-0.029032258064516148,0.20864661654135339,0.5093984962406015,0.2819548872180451,340.5,316.20000000000005,376.1,0.46329837940896124,7.0,0.46695957820738154,8.0,0.017741935483869153,10.0,0.013524540870462117,9.0,0.25375939849624063,6.0,0.14515864640274542,9.0,0.9727307173490907,2.0,0.20041673055115478
