Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779760019045077,0.006821203641387129,0.0,1.0,1.0,1.0,1.0,-0.08057105349524118,0.0,0.0,0.8206214689265536,0.009887005649717515,0.1694915254237288,2124.0,2001.3,2103.0,0.6090467885038297,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.921809357700766
Bank,0.7035941394612406,0.14523927597322092,0.06414464363157003,0.40790901654804657,0.3769506597819851,0.38110296607803784,0.803201506591337,-0.07919577414162249,-0.049030868628858526,-0.05396145540106112,0.914783427495292,0.0,0.0852165725047081,1730.7,1809.8000000000002,1776.3000000000002,0.6157200272996133,2.0,0.7928796700630764,3.0,0.44035217088763,7.0,0.8949175073916636,3.0,0.803201506591337,2.0,0.7963977184563287,4.0,0.10239988665608964,10.0,0.7114785437523163
Outcome_Pred_Model,0.6306885330411938,0.11732428246189715,0.1291425982043108,0.40065040708482974,0.39317269076305217,0.39633812866107204,0.7725988700564972,-0.09165142919655556,-0.07089734386216795,-0.05981793518743583,0.8422787193973634,0.010357815442561206,0.14736346516007534,1688.7000000000003,1740.5,1759.0,0.5552817168423447,4.0,0.7005094614264922,4.0,0.37961314570150373,8.0,0.7943330607916843,4.0,0.7725988700564972,4.0,0.5900869324350826,5.0,0.2834203337526945,9.0,0.6548851326897055
Regulatory,0.7315255135891376,0.1610302665348537,0.03487287433270298,0.3786387189662859,0.354245553643144,0.35126873570503164,0.7961393596986818,0.05994186319096073,0.042455132806891616,-0.09642037830584771,0.9336158192090396,0.0014124293785310734,0.06497175141242938,1720.9,1825.0,1776.9,0.709145370440585,1.0,0.8206574478408539,2.0,0.0,11.0,0.9334531145608126,2.0,0.7961393596986818,3.0,0.889309591944953,2.0,0.0,11.0,0.6469754408797523
Compromise Programming,0.4993841495171647,0.08993176424369084,0.1892040060037623,0.39202297653071283,0.3737649008733346,0.3811778811778812,0.6850282485875706,0.16472877303202216,0.18209619526202436,-0.07759475023436446,0.7217514124293786,0.08192090395480225,0.1963276836158192,1626.6,1657.3,1728.2,0.20069007355729107,5.0,0.23077389616690946,5.0,0.1952453247151542,10.0,0.6131785597671329,5.0,0.6850282485875706,5.0,0.3994452986467451,6.0,0.46105268365634505,8.0,0.47583409104294394
Nash Bargaining,0.07408278928688856,0.014042107805410558,0.31504874672935046,0.381154064302571,0.3647829412889654,0.2599001159870725,0.3130885122410546,0.19873568068513917,0.2317013639626705,-0.045237146273415685,0.262241054613936,0.4307909604519774,0.3069679849340866,1383.5,1293.6999999999998,1529.6,0.035679077879730015,7.0,0.021227559437166366,8.0,0.5308341756353372,3.0,0.02641021563581017,8.0,0.3130885122410546,8.0,0.0,11.0,0.9531745798299034,5.0,0.24382009872659732
Nash Social Welfare,0.08865156567918497,0.014859874219507248,0.19084613135362913,0.3968199657056491,0.34561260916682607,0.26492751444137097,0.3159133709981168,0.19943894853642147,0.23583632447954056,-0.047771236333053024,0.2876647834274953,0.5178907721280602,0.19444444444444445,1463.6999999999998,1392.6999999999998,1558.9,0.03226662622279508,8.0,0.0037603105288694927,9.0,0.504552490122767,4.0,0.046510073287567386,6.0,0.3159133709981168,6.0,0.39423300890773044,7.0,0.9478716073667245,6.0,0.24303118632587262
Proportional Fairness,0.08865156567918497,0.014859874219507248,0.19084613135362913,0.3968199657056491,0.34561260916682607,0.26492751444137097,0.3159133709981168,0.19943894853642147,0.23583632447954056,-0.047771236333053024,0.2876647834274953,0.5178907721280602,0.19444444444444445,1463.6999999999998,1392.6999999999998,1558.9,0.03226662622279508,8.0,0.0037603105288694927,9.0,0.504552490122767,4.0,0.046510073287567386,6.0,0.3159133709981168,6.0,0.39423300890773044,7.0,0.9478716073667245,6.0,0.24303118632587262
Kalai-Smorodinsky,0.07242695778666815,0.013494676065318267,0.31495692758850413,0.3817622099209102,0.3634442532032893,0.25847495044221885,0.3097928436911488,0.20415084314001283,0.2367264895908112,-0.047945705320002974,0.2580037664783427,0.4354990583804143,0.3064971751412429,1382.8999999999999,1292.3,1528.8,0.009403200121331445,10.0,0.0,11.0,0.5027430283677371,6.0,0.024125742557664455,9.0,0.3097928436911488,9.0,0.00029144423458128156,10.0,0.9567245121738311,4.0,0.23117153168580612
Applicant,0.05494013998375726,0.011892721411987467,0.055377518527953855,0.43142447009956625,0.33007745266781413,0.1960206599888337,0.2076271186440678,0.19336740275368433,0.2270208183776023,-0.03261951614770231,0.2015065913370998,0.7344632768361582,0.064030131826742,1493.5,1419.1,1530.3,0.061727458860999396,6.0,0.04099951479864139,6.0,0.6616947919014335,2.0,0.0,11.0,0.2076271186440678,11.0,0.8242255552423221,3.0,0.9671127126029945,2.0,0.22773529761011374
