Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Demographic_Parity Rank,Total_cognitive_score Normalized,Total_cognitive_score Rank,Avg_outcome_difference Normalized,Avg_outcome_difference Rank,Percentage_treated Normalized,Percentage_treated Rank,Mean_outcome_treated Normalized,Mean_outcome_treated Rank,Mean_outcome_control Normalized,Mean_outcome_control Rank,Accuracy Normalized,Accuracy Rank,Mean_Regret Normalized,Mean_Regret Rank,Cost_effectiveness Normalized,Cost_effectiveness Rank,Weighted Normalized-Sum
Outcome_Maxim,977.8999999999999,0.0,1.0,6.519333333333332,0.0,0.0456962962998284,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Policy_Maker,972.6000000476838,1.7183673310442042,0.98,6.518367346938776,4.800000015894572,0.04568556311766667,0.98,0.03533333301544189,0.022222222222222254,0.98,0.02,0.7857142857142855,4.0,0.9876915932345648,2.0,0.5346114127310924,3.0,0.9722222222222222,2.0,0.9954475506540218,2.0,0.9974025982347233,2.0,0.98,2.0,0.9876915932345642,2.0,0.9954475506540214,2.0,0.9457706859205743
Nash Bargaining,919.2999999046325,2.5715384663068335,0.8666666666666667,6.4715384615384615,3.899999995231628,0.04516524216877429,0.8733333333333333,0.3906666673024496,0.0,0.8666666666666667,0.13333333333333333,1.0,1.0,0.8639108218646047,5.0,0.3035455037340882,7.0,0.8148148148148149,5.0,0.7747548681121436,4.0,0.810389607391383,6.0,0.8733333333333333,7.0,0.8639108218646046,5.0,0.774754868112145,4.0,0.8770664713286833
Parent,924.0999998569488,2.537373745321023,0.88,6.465151515151515,3.9277777698304916,0.045094276097808215,0.8866666666666667,0.358666667620341,-0.014814814814814836,0.88,0.12,0.857142857142857,3.0,0.875058058170024,4.0,0.3127983980057459,6.0,0.8333333333333334,4.0,0.7446548065937686,6.0,0.8161616124885376,5.0,0.8866666666666667,4.0,0.8750580581700239,4.0,0.7446548065937706,6.0,0.850037811047997
Compromise Programming,960.2000000953675,1.6783450585016064,0.9466666666666667,6.490845070422536,4.812500011920929,0.045379760045264,0.9533333333333334,0.11799999936421714,-0.0888888888888889,0.9466666666666667,0.05333333333333334,0.14285714285714302,9.0,0.9588945659368963,3.0,0.5454507184728818,2.0,0.9259259259259259,3.0,0.8657420284724573,3.0,1.0,1.0,0.9533333333333334,3.0,0.9588945659368957,3.0,0.8657420284724584,3.0,0.7748320807866329
Nash Social Welfare,917.4999998569488,2.2173076994602487,0.8666666666666667,6.412307692307691,4.194999992847443,0.04450712251065462,0.88,0.40266666762034103,-0.07407407407407407,0.8666666666666667,0.13333333333333333,0.28571428571428603,5.0,0.8597306080978078,6.0,0.3994824743524344,4.0,0.8148148148148149,5.0,0.49561524651291156,7.0,0.8716883080428277,3.0,0.88,5.0,0.8597306080978077,6.0,0.4956152465129128,7.0,0.6802120280650014
Proportional Fairness,917.4999998569488,2.2173076994602487,0.8666666666666667,6.412307692307691,4.194999992847443,0.04450712251065462,0.88,0.40266666762034103,-0.07407407407407407,0.8666666666666667,0.13333333333333333,0.28571428571428603,5.0,0.8597306080978078,6.0,0.3994824743524344,4.0,0.8148148148148149,5.0,0.49561524651291156,7.0,0.8716883080428277,3.0,0.88,5.0,0.8597306080978077,6.0,0.4956152465129128,7.0,0.6802120280650014
Maximin,855.4999997854231,3.195175444556955,0.76,6.47017543859649,3.274999994039535,0.045150097469419045,0.7733333333333333,0.8160000014305114,-0.10370370370370374,0.76,0.24,0.0,10.0,0.7157454708896697,8.0,0.1346447529847663,8.0,0.6666666666666666,8.0,0.7683312860247558,5.0,0.6805194775952437,7.0,0.7733333333333333,8.0,0.7157454708896698,8.0,0.7683312860247555,5.0,0.6061486847162184
Healthcare_Provider,547.3000000715256,3.6923280416657684,0.28,6.307142857142857,2.6148148154770885,0.043338624342156455,0.29333333333333333,2.87066666618983,-0.08888888888888885,0.28,0.72,0.14285714285714357,7.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.5433381421298686,8.0,0.29333333333333333,9.0,0.0,9.0,0.0,9.0,0.14590476190476206
Kalai-Smorodinsky,547.3000000715256,3.6923280416657684,0.28,6.307142857142857,2.6148148154770885,0.043338624342156455,0.29333333333333333,2.87066666618983,-0.08888888888888885,0.28,0.72,0.14285714285714357,7.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.5433381421298686,8.0,0.29333333333333333,9.0,0.0,9.0,0.0,9.0,0.14590476190476206
