Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Demographic_Parity Rank,Total_cognitive_score Normalized,Total_cognitive_score Rank,Avg_outcome_difference Normalized,Avg_outcome_difference Rank,Percentage_treated Normalized,Percentage_treated Rank,Mean_outcome_treated Normalized,Mean_outcome_treated Rank,Mean_outcome_control Normalized,Mean_outcome_control Rank,Accuracy Normalized,Accuracy Rank,Mean_Regret Normalized,Mean_Regret Rank,Cost_effectiveness Normalized,Cost_effectiveness Rank,Weighted Normalized-Sum
Outcome_Maxim,3875.0,0.0,1.0,6.490787269681742,0.0,0.04497859669312981,0.9932998324958124,0.009380234505862648,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,0.9932998324958124,1.0,1.0,1.0,1.0,1.0,0.9973199329983251
Policy_Maker,3873.8999999046328,0.32390575569486835,0.9949748743718593,6.490572390572391,6.166666634877522,0.04497620914747035,0.9916247906197655,0.011222780729258681,0.0053859964093356805,0.9949748743718593,0.005025125628140704,0.9160251924422681,3.0,0.9993683968218586,2.0,0.9126875187216249,2.0,0.9933481152993348,2.0,0.998127576261482,2.0,1.0,1.0,0.9916247906197655,2.0,0.9993683968218585,2.0,0.9981275762614795,2.0,0.9793541493530274
Compromise Programming,3847.9000000476835,0.5426640294531104,0.9631490787269682,6.4653913043478255,5.922727274894715,0.04469641930053074,0.9698492462311558,0.05477386926686146,0.012701974865350074,0.9631490787269682,0.03685092127303183,0.8019594121763476,5.0,0.9844395958058534,3.0,0.8537187373826499,3.0,0.951219512195122,3.0,0.7787034370285195,3.0,0.960442265744814,2.0,0.9698492462311558,3.0,0.9844395958058534,3.0,0.7787034370285181,3.0,0.9009601874946063
Parent,3356.3000002622603,3.4653490936109206,0.7705192629815746,6.417173913043478,2.9518248194325576,0.04416067050826022,0.7671691792294807,0.878224455172093,0.004802513464991054,0.7705192629815746,0.22948073701842547,0.9251224632610213,2.0,0.7021704182426374,6.0,0.06587572916126733,5.0,0.6962305986696231,6.0,0.35854445386701994,7.0,0.47867429751068175,4.0,0.7671691792294807,6.0,0.7021704182426374,6.0,0.35854445386702066,7.0,0.7040351387659282
Nash Social Welfare,3391.1999999523164,3.5819239008774226,0.7822445561139029,6.460385438972163,2.8784615380947405,0.04464079857413449,0.7889447236180904,0.8197654942172258,-0.034560143626570894,0.7822445561139029,0.21775544388609716,0.46116165150454946,8.0,0.7222094626156409,4.0,0.0344516636791611,7.0,0.7117516629711752,4.0,0.7350830907346703,4.0,0.4667775491243026,6.0,0.7889447236180904,4.0,0.7222094626156408,4.0,0.7350830907346694,4.0,0.6992687304182081
Proportional Fairness,3391.1999999523164,3.5819239008774226,0.7822445561139029,6.460385438972163,2.8784615380947405,0.04464079857413449,0.7889447236180904,0.8197654942172258,-0.034560143626570894,0.7822445561139029,0.21775544388609716,0.46116165150454946,8.0,0.7222094626156409,4.0,0.0344516636791611,7.0,0.7117516629711752,4.0,0.7350830907346703,4.0,0.4667775491243026,6.0,0.7889447236180904,4.0,0.7222094626156408,4.0,0.7350830907346694,4.0,0.6992687304182081
Nash Bargaining,3355.9000002622606,3.4139989299721143,0.7671691792294807,6.416157205240175,3.002158275268061,0.044149373754890184,0.7671691792294807,0.8788944719225118,0.008393177737881508,0.7671691792294807,0.23283082077051925,0.8691392582225334,4.0,0.7019407443795892,7.0,0.07971774994208485,4.0,0.6917960088691796,7.0,0.3496850173597274,8.0,0.48683647958013665,3.0,0.7671691792294807,6.0,0.7019407443795892,7.0,0.3496850173597275,8.0,0.6910206756841624
Maximin,3072.9000000953674,3.4964876178724276,0.6348408710217756,6.424010554089709,2.9275229362172817,0.044236633186551674,0.6415410385259631,1.3529313231233377,-0.06413824057450634,0.6348408710217756,0.36515912897822445,0.0,10.0,0.5394464861770538,8.0,0.05748198570713663,6.0,0.516629711751663,8.0,0.41811789972379787,6.0,0.47473345156356517,5.0,0.6415410385259631,8.0,0.5394464861770537,8.0,0.418117899723799,6.0,0.4481292925905558
Healthcare_Provider,2133.399999499321,3.7097302808537975,0.24455611390284757,6.376027397260274,2.6662971164064766,0.04370348699955795,0.2529313232830821,2.926633166667804,-0.020960502692998206,0.24455611390284757,0.7554438860971524,0.673198040587824,6.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.4323725075920911,8.0,0.2529313232830821,9.0,0.0,9.0,0.0,9.0,0.23581213743079762
Kalai-Smorodinsky,2133.399999499321,3.7097302808537975,0.24455611390284757,6.376027397260274,2.6662971164064766,0.04370348699955795,0.2529313232830821,2.926633166667804,-0.020960502692998206,0.24455611390284757,0.7554438860971524,0.673198040587824,6.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.4323725075920911,8.0,0.2529313232830821,9.0,0.0,9.0,0.0,9.0,0.23581213743079762
