Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.779760019045077,0.006821203641387129,0.0,1.0,1.0,1.0,1.0,-0.08057105349524118,0.0,0.0,0.8206214689265536,0.009887005649717515,0.1694915254237288,2103.0,1761.2,2103.0,0.7570624131187712,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9514124826237543
Outcome_Pred_Model,0.6306885330411938,0.11732428246189715,0.1291425982043108,0.40065040708482974,0.39317269076305217,0.39633812866107204,0.7725988700564972,-0.09165142919655556,-0.07089734386216795,-0.05981793518743583,0.8422787193973634,0.010357815442561206,0.14736346516007534,1757.9,1728.2,1759.0,0.7236528991824329,4.0,0.8017345218019756,4.0,0.37961314570150373,7.0,0.7954410710479144,4.0,0.7725988700564972,3.0,0.5649099599420677,9.0,0.2834203337526945,9.0,0.6887809712089692
Bank,0.6474562293159271,0.12315604058723324,0.12028255377688363,0.3971938603925367,0.39901988908013003,0.3980565527331665,0.7707156308851224,-0.11365589885445482,-0.09016511127063886,-0.055538664234316304,0.8356873822975518,0.0,0.1643126177024482,1757.5,1699.7,1753.3,0.6573050915345287,6.0,0.7478519232313501,5.0,0.42399454129762537,6.0,0.8184500453521215,3.0,0.7707156308851224,4.0,0.594760041467806,8.0,0.2456031133123829,10.0,0.688236187990904
Regulatory,0.7315255135891376,0.1610302665348537,0.03487287433270298,0.3786387189662859,0.354245553643144,0.35126873570503164,0.7961393596986818,0.05994186319096073,0.042455132806891616,-0.09642037830584771,0.9336158192090396,0.0014124293785310734,0.06497175141242938,1743.9,1886.6,1776.9,0.8192634827886811,1.0,0.8812735886934875,2.0,0.0,11.0,0.9338116293122385,2.0,0.7961393596986818,2.0,0.8825109568699656,7.0,0.0,11.0,0.6690707662996567
Compromise Programming,0.3952822072837766,0.0676396833268393,0.005574265086377794,0.4506592619205414,0.41844520940906477,0.2730736534672165,0.5560263653483992,-0.06383327863472266,-0.05195979899497494,-0.06474441041455936,0.6257062146892656,0.3681732580037665,0.006120527306967985,1630.9,1822.5,1670.2,0.8075300991918574,2.0,0.8546936481169194,3.0,0.32851943176173226,8.0,0.4724117167673202,5.0,0.5560263653483992,5.0,0.9812199285638602,6.0,0.6056102115900421,8.0,0.5441027956835417
Applicant,0.051014093518645415,0.013395673679159916,0.0,0.2926170949922089,0.3819085867278638,0.11297137590264984,0.16807909604519775,0.09235469704783786,0.11200287150035895,-0.03924573144036525,0.18314500941619585,0.8168549905838042,0.0,1461.8000000000002,1585.6,1502.1,0.7215324081709587,5.0,0.6867823014534651,6.0,0.5929726461363087,2.0,0.0,11.0,0.16807909604519775,11.0,1.0,1.0,0.9573665132618394,2.0,0.3301326492795326
Nash Social Welfare,0.09998359991776412,0.020490128839670125,0.0011699487605561015,0.45982268120435404,0.3797443743226876,0.16860705656184283,0.2749529190207156,0.19196868113835625,0.22360373295046665,-0.04996768634209392,0.3064971751412429,0.6916195856873822,0.0018832391713747645,1508.8000000000002,1646.3999999999999,1554.2,0.42117663690125573,8.0,0.374688830000803,8.0,0.48177255451544443,4.0,0.06719695395036906,8.0,0.2749529190207156,8.0,0.9960583644732719,4.0,0.9113610773464981,4.0,0.30401039668170005
Proportional Fairness,0.09998359991776412,0.020490128839670125,0.0011699487605561015,0.45982268120435404,0.3797443743226876,0.16860705656184283,0.2749529190207156,0.19196868113835625,0.22360373295046665,-0.04996768634209392,0.3064971751412429,0.6916195856873822,0.0018832391713747645,1508.8000000000002,1646.3999999999999,1554.2,0.42117663690125573,8.0,0.374688830000803,8.0,0.48177255451544443,4.0,0.06719695395036906,8.0,0.2749529190207156,8.0,0.9960583644732719,4.0,0.9113610773464981,4.0,0.30401039668170005
Maximin,0.08885275849316743,0.019641609642527074,0.0,0.29046015712682377,0.36756550009562056,0.1530780450836169,0.24858757062146894,0.1875380936752778,0.2158937544867193,-0.04916313979209552,0.2796610169491525,0.7203389830508474,0.0,1496.6,1633.8,1541.3,0.4345357302735433,7.0,0.39624989962258106,7.0,0.49011670918621697,3.0,0.05192298666670159,10.0,0.24858757062146894,10.0,1.0,1.0,0.9168634724795861,3.0,0.29475011347387997
Nash Bargaining,0.19012866042253276,0.04206800454690363,0.2968180981277242,0.3766745537140818,0.382287881685472,0.3067512758077453,0.423728813559322,0.3294809883257536,0.3546733668341709,-0.06766852578668314,0.4110169491525424,0.3215630885122411,0.2674199623352166,1589.6,1308.7,1595.6,0.006549961124331594,10.0,0.008150646430579056,10.0,0.2981926956142301,10.0,0.19089584178929542,6.0,0.423728813559322,6.0,0.0,10.0,0.7714349582043287,7.0,0.26861922512930025
Kalai-Smorodinsky,0.1857430323659329,0.04112771002862746,0.2968180981277242,0.37640594758221896,0.37865429973863707,0.30328678452785685,0.4147834274952919,0.3316533045774923,0.3575879396984925,-0.06630036630036629,0.4006591337099812,0.3319209039548023,0.2674199623352166,1585.7999999999997,1303.0,1591.6,0.0,11.0,0.0,11.0,0.3123822218363429,9.0,0.1848777936562211,7.0,0.4147834274952919,7.0,0.0,10.0,0.7775324890538985,6.0,0.2653653740966295
