Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Demographic_Parity Rank,Total_cognitive_score Normalized,Total_cognitive_score Rank,Avg_outcome_difference Normalized,Avg_outcome_difference Rank,Percentage_treated Normalized,Percentage_treated Rank,Mean_outcome_treated Normalized,Mean_outcome_treated Rank,Mean_outcome_control Normalized,Mean_outcome_control Rank,Accuracy Normalized,Accuracy Rank,Mean_Regret Normalized,Mean_Regret Rank,Cost_effectiveness Normalized,Cost_effectiveness Rank,Weighted Normalized-Sum
Outcome_Maxim,941.2,-0.43108108108108123,0.9866666666666667,6.268918918918919,6.7,0.0420398399193127,0.98,0.014666666666666668,0.014598540145985384,0.9866666666666667,0.013333333333333334,0.9456066945606695,1.0,1.0,1.0,0.9972747128537994,2.0,1.0,1.0,0.435300210390031,3.0,1.0,1.0,0.98,1.0,1.0,1.0,0.43530021039003014,3.0,0.8681813809901399
Kalai-Smorodinsky,939.5000000000001,-0.44256756756756666,0.9866666666666667,6.2574324324324335,6.7,0.04191221229168508,0.9733333333333334,0.026000000000000002,0.014598540145985384,0.9866666666666667,0.013333333333333334,0.9456066945606695,1.0,0.9954739084218248,2.0,1.0,1.0,1.0,1.0,0.3965625505745305,4.0,1.0,1.0,0.9733333333333334,2.0,0.9954739084218247,2.0,0.39656255057453,4.0,0.8568619640447382
Policy_Maker,935.0999999999999,0.29178082191780863,0.9733333333333334,6.241780821917808,5.949999999999999,0.041738305508189244,0.96,0.05533333333333334,0.029197080291970767,0.9733333333333334,0.02666666666666667,0.8912133891213391,3.0,0.9837593184547819,3.0,0.8257682861463096,3.0,0.9807692307692308,3.0,0.34377819703059553,7.0,0.8141654982069171,3.0,0.96,3.0,0.9837593184547824,3.0,0.3437781970305953,7.0,0.8277501809213433
Compromise Programming,924.0,0.8790058862001313,0.9266666666666666,6.224460431654677,5.345454545454546,0.04154585672748779,0.9333333333333333,0.12933333333333336,0.08029197080291972,0.9266666666666666,0.07333333333333333,0.7008368200836819,6.0,0.9542066028561075,4.0,0.6864430954974232,4.0,0.9134615384615384,4.0,0.28536595873002474,8.0,0.6643716270646142,4.0,0.9333333333333333,4.0,0.9542066028561076,4.0,0.2853659587300251,8.0,0.7614152096672961
Nash Social Welfare,865.3999998569487,2.5793911058115455,0.8133333333333334,6.250819672131147,3.6714285663196016,0.041838737177226346,0.8333333333333334,0.5200000009536744,0.035934868051656355,0.8133333333333334,0.18666666666666668,0.8661087866108788,4.0,0.7981895633687295,7.0,0.28300920054192746,7.0,0.75,7.0,0.37426131343869506,5.0,0.24958258196965438,7.0,0.8333333333333334,7.0,0.7981895633687298,7.0,0.37426131343869473,5.0,0.7410452660169939
Proportional Fairness,865.3999998569487,2.5793911058115455,0.8133333333333334,6.250819672131147,3.6714285663196016,0.041838737177226346,0.8333333333333334,0.5200000009536744,0.035934868051656355,0.8133333333333334,0.18666666666666668,0.8661087866108788,4.0,0.7981895633687295,7.0,0.28300920054192746,7.0,0.75,7.0,0.37426131343869506,5.0,0.24958258196965438,7.0,0.8333333333333334,7.0,0.7981895633687298,7.0,0.37426131343869473,5.0,0.7410452660169939
Parent,892.1999998092651,1.5842307787675125,0.8666666666666667,6.15923076923077,4.574999990463257,0.04082108270055548,0.8866666666666667,0.3413333346048991,0.14598540145985406,0.8666666666666667,0.13333333333333333,0.45606694560669436,7.0,0.8695420657683064,5.0,0.5191212310477613,6.0,0.826923076923077,5.0,0.0653818516812551,9.0,0.47346890922325774,6.0,0.8866666666666667,5.0,0.8695420657683066,5.0,0.06538185168125393,9.0,0.6328648392779176
Nash Bargaining,887.7999998092652,1.5080255768515842,0.8533333333333334,6.13984375,4.631818173148416,0.040605671375769155,0.8733333333333333,0.37066666793823244,0.16058394160583944,0.8533333333333334,0.14666666666666667,0.40167364016736384,9.0,0.8578274758012643,6.0,0.5372016995617365,5.0,0.8076923076923077,6.0,0.0,10.0,0.48754728078603743,5.0,0.8733333333333333,6.0,0.8578274758012642,6.0,0.0,10.0,0.601233556527059
Maximin,761.6999998092651,3.3155023958124064,0.6333333333333333,6.293684210526317,2.9781818147139107,0.04231500982606157,0.6533333333333333,1.2113333346048991,0.1487928130263897,0.6333333333333333,0.36666666666666664,0.44560669456066926,8.0,0.5220979769730759,9.0,0.10835922039588249,9.0,0.4903846153846153,9.0,0.5188200441222862,2.0,0.077810362363899,9.0,0.6533333333333333,9.0,0.5220979769730758,9.0,0.5188200441222857,2.0,0.5586382764645396
Healthcare_Provider,565.5999992847442,3.772212699715106,0.29333333333333333,6.4363636363636365,2.6641509366485305,0.04390033677980956,0.31333333333333335,2.518666671435038,0.2683885457608085,0.29333333333333333,0.7066666666666667,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,1.0,1.0,0.0,10.0,0.31333333333333335,10.0,0.0,10.0,1.0,1.0,0.32533333333333336
