Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Demographic_Parity Rank,Total_cognitive_score Normalized,Total_cognitive_score Rank,Avg_outcome_difference Normalized,Avg_outcome_difference Rank,Percentage_treated Normalized,Percentage_treated Rank,Mean_outcome_treated Normalized,Mean_outcome_treated Rank,Mean_outcome_control Normalized,Mean_outcome_control Rank,Accuracy Normalized,Accuracy Rank,Mean_Regret Normalized,Mean_Regret Rank,Cost_effectiveness Normalized,Cost_effectiveness Rank,Weighted Normalized-Sum
Outcome_Maxim,3858.1,0.0,1.0,6.462479061976549,0.0,0.04496556859785854,0.9882747068676717,0.012227806014631264,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4200045059606046,4.0,0.0,10.0,0.9882747068676717,1.0,1.0,1.0,0.42000450596060507,4.0,0.8793107839391897
Kalai-Smorodinsky,3856.7,0.4609060402684557,0.998324958123953,6.460906040268456,6.0,0.04494809057887972,0.9865996649916248,0.014572864641096927,0.0018018018018017834,0.998324958123953,0.0016750418760469012,0.9828641370869035,2.0,0.9992710990786419,2.0,0.8865911668877806,2.0,0.9979633401221996,2.0,0.4127207050266294,5.0,1.0,1.0,0.9865996649916248,2.0,0.999271099078642,2.0,0.4127207050266289,5.0,0.8736110542350848
Policy_Maker,3840.1000000953677,3.332487293750099,0.9899497487437185,6.465820642978004,3.133333349227905,0.045002697275652474,0.9782244556113903,0.04237855962373104,-0.014800514800514808,0.9899497487437185,0.010050251256281407,0.8592411260709913,4.0,0.990628416775049,3.0,0.18002051974548114,6.0,0.9877800407331975,3.0,0.435477535159196,3.0,0.5222222248713175,5.0,0.9782244556113903,3.0,0.9906284167750488,3.0,0.4354775351591942,3.0,0.8483591978456031
Compromise Programming,3768.3,2.0150558980252837,0.9430485762144054,6.426820603907638,4.411764705882354,0.044569363508203966,0.9430485762144054,0.16264656648364295,0.010038610038609952,0.9430485762144054,0.05695142378559464,0.9045287637698907,3.0,0.9532462123300329,4.0,0.5041828093252199,3.0,0.9307535641547862,4.0,0.25488974063341097,8.0,0.735294117647059,2.0,0.9430485762144054,4.0,0.9532462123300327,4.0,0.25488974063341086,8.0,0.7997523738324291
Nash Social Welfare,3296.9999999284746,3.577241409842764,0.7386934673366834,6.457369614512472,2.880128204669708,0.04490879695936879,0.7487437185929648,0.9520938027843557,-0.051866151866151844,0.7386934673366834,0.2613065326633166,0.5067319461444311,6.0,0.707866923552754,7.0,0.11979722848786481,7.0,0.6822810590631364,7.0,0.39634545661662063,6.0,0.48002136744495133,6.0,0.7487437185929648,7.0,0.7078669235527539,7.0,0.3963454566166199,6.0,0.621686352699947
Proportional Fairness,3296.9999999284746,3.577241409842764,0.7386934673366834,6.457369614512472,2.880128204669708,0.04490879695936879,0.7487437185929648,0.9520938027843557,-0.051866151866151844,0.7386934673366834,0.2613065326633166,0.5067319461444311,6.0,0.707866923552754,7.0,0.11979722848786481,7.0,0.6822810590631364,7.0,0.39634545661662063,6.0,0.48002136744495133,6.0,0.7487437185929648,7.0,0.7078669235527539,7.0,0.3963454566166199,6.0,0.621686352699947
Nash Bargaining,3501.800000143051,2.878668868496367,0.8224455611390284,6.3767820773930755,3.4981132088967084,0.04401337988026438,0.8257956448911222,0.6090452262105255,0.08854568854568856,0.8224455611390284,0.17755443886097153,0.1578947368421052,9.0,0.8144947155888514,6.0,0.29168540055909253,5.0,0.7841140529531567,6.0,0.02318876391692803,9.0,0.5830188681494514,4.0,0.8257956448911222,6.0,0.8144947155888514,6.0,0.023188763916926397,9.0,0.5294339012260255
Maximin,2867.1999998331066,3.735789736770568,0.5494137353433836,6.485975609756096,2.750185872985528,0.04522664135096461,0.559463986599665,1.6720268012690584,-0.053153153153153165,0.5494137353433836,0.45058626465661644,0.49449204406364744,8.0,0.48409434064617574,9.0,0.08078541441334328,9.0,0.4521384928716904,9.0,0.5288041339512912,2.0,0.45836431216425466,8.0,0.559463986599665,9.0,0.48409434064617585,9.0,0.5288041339512902,2.0,0.5252636983720886
Parent,3518.400000047683,2.827219737630727,0.830820770519263,6.3717741935483865,3.5445544559176594,0.04395773672643451,0.8341708542713567,0.5812395312278913,0.10514800514800515,0.830820770519263,0.16917922948073702,0.0,10.0,0.8231373978924443,5.0,0.3043447831367468,4.0,0.7942973523421588,5.0,0.0,10.0,0.5907590759862765,3.0,0.8341708542713567,5.0,0.8231373978924446,5.0,0.0,10.0,0.4982958212870316
Healthcare_Provider,1937.3999995231627,4.064110595445274,0.17755443886097153,6.587735849056603,2.5236252536113293,0.0463573106765258,0.19095477386934673,3.2294807381366364,-0.03732303732303732,0.17755443886097153,0.8224455611390284,0.6450428396572827,5.0,0.0,10.0,0.0,10.0,0.0,10.0,1.0,1.0,0.42060420893522155,9.0,0.19095477386934673,10.0,0.0,10.0,1.0,1.0,0.40539047747919527
