Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.7942331904223328,0.007044300004553803,0.0,1.0,1.0,1.0,1.0,-0.057858090185676336,0.0,0.0,0.8383458646616542,0.009398496240601503,0.15225563909774437,532.0,504.4,527.4,0.7406168710516539,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9481233742103309
Bank,0.5685500958182862,0.1307214742178843,0.21270140589232778,0.3299846056658509,0.33156175607595634,0.32488686144600126,0.6560150375939849,-0.07999005305039786,-0.06380496192581675,-0.03895305971983287,0.7349624060150376,0.0037593984962406013,0.26127819548872183,370.70000000000005,384.1,407.6,0.6413972500929024,4.0,0.7572996963326326,4.0,0.34307814789044877,7.0,0.6982807271365427,3.0,0.6560150375939849,3.0,0.31934750336421575,5.0,0.07409319452917308,10.0,0.5989572400615728
Outcome_Pred_Model,0.5368215649396056,0.12307108486771201,0.21270140589232778,0.3303597122302158,0.3218457620550296,0.3194219909201639,0.631578947368421,-0.06357758620689657,-0.05447064603291585,-0.04686674881182884,0.7048872180451128,0.03383458646616541,0.26127819548872183,368.1,380.1,405.1,0.7149758454106279,3.0,0.792805419294557,3.0,0.20961814929921496,8.0,0.6558623560018463,4.0,0.631578947368421,4.0,0.31934750336421575,5.0,0.13136768845969954,9.0,0.5687228490897063
Regulatory,0.6051286304970419,0.14061840647247226,0.1546347652981389,0.3263437813331008,0.3199542342541844,0.32102350644531563,0.6691729323308271,0.13751657824933694,0.14879636452959966,-0.04720012984905042,0.7631578947368421,0.02443609022556391,0.212406015037594,384.5,401.5,417.7,0.38350055741360056,5.0,0.4340107451530014,5.0,0.20399586211548704,9.0,0.7471831445065633,2.0,0.6691729323308271,2.0,0.505162936627946,2.0,0.0,11.0,0.5346050857394611
Compromise Programming,0.478343564121454,0.11629198986019824,0.2123559652642426,0.32337174635936244,0.29044640056099946,0.2986424633714629,0.5695488721804511,0.04882294429708223,0.04679439941046426,-0.05929633729604855,0.6428571428571429,0.10150375939849623,0.2556390977443609,360.70000000000005,371.70000000000005,398.79999999999995,0.781122259383129,1.0,0.8220042046250876,2.0,0.0,11.0,0.5776821984835481,5.0,0.5695488721804511,5.0,0.3204529263629929,4.0,0.18211925391480482,8.0,0.4995804404455159
Maximin,0.05423995391755602,0.011266111507460649,0.2964908880287448,0.3471574011945293,0.364535237778885,0.17885296642632084,0.2161654135338346,0.15890251989389922,0.1896339965610415,0.0,0.18609022556390978,0.4943609022556391,0.31954887218045114,310.4,295.40000000000003,355.79999999999995,0.2876254180602005,6.0,0.2786732071945808,6.0,1.0,1.0,0.010691422705729195,10.0,0.2161654135338346,10.0,0.051218009961422804,9.0,0.9683934887191565,3.0,0.3461295335667198
Nash Social Welfare,0.06832303929761727,0.0134458652985018,0.21270140589232778,0.34994683202771787,0.3634003210983779,0.19291124311946603,0.2387218045112782,0.184184350132626,0.21573323507737657,-0.010939510939510955,0.21804511278195488,0.5206766917293233,0.26127819548872183,327.20000000000005,314.1,365.0,0.17428465254552206,7.0,0.17939733707077776,7.0,0.8155111860469002,4.0,0.02951932068364835,6.0,0.2387218045112782,6.0,0.31934750336421575,5.0,0.9520748035437129,6.0,0.29935175365972544
Proportional Fairness,0.06832303929761727,0.0134458652985018,0.21270140589232778,0.34994683202771787,0.3634003210983779,0.19291124311946603,0.2387218045112782,0.184184350132626,0.21573323507737657,-0.010939510939510955,0.21804511278195488,0.5206766917293233,0.26127819548872183,327.20000000000005,314.1,365.0,0.17428465254552206,7.0,0.17939733707077776,7.0,0.8155111860469002,4.0,0.02951932068364835,6.0,0.2387218045112782,6.0,0.31934750336421575,5.0,0.9520748035437129,6.0,0.29935175365972544
Nash Bargaining,0.061296700792199676,0.012893337178767134,0.31249632807289013,0.34006748745780807,0.3663990846850837,0.18193665433520798,0.22932330827067668,0.2230603448275862,0.2628960943257185,0.009440559440559437,0.20488721804511278,0.4548872180451128,0.34022556390977443,304.2,293.0,354.09999999999997,0.0,11.0,0.0,11.0,0.8407901757333577,3.0,0.020125698407834812,8.0,0.22932330827067668,8.0,0.0,10.0,0.9562112947720287,5.0,0.2639124981365092
Kalai-Smorodinsky,0.0580373100882819,0.012380275353299231,0.31249632807289013,0.3368528158001842,0.35929432172581155,0.17544339776644677,0.2199248120300752,0.22165119363395228,0.24680668140506018,-0.026631657914478635,0.19736842105263158,0.4642857142857143,0.3383458646616541,302.40000000000003,291.4,352.7,0.006317354143440923,10.0,0.06120065405279129,10.0,0.5508717885640242,6.0,0.015768167796650294,9.0,0.2199248120300752,9.0,0.0,10.0,0.9600523223411792,4.0,0.2025613869128532
