Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.7942331904223328,0.007044300004553803,0.0,1.0,1.0,1.0,1.0,-0.057858090185676336,0.0,0.0,0.8383458646616542,0.009398496240601503,0.15225563909774437,527.0,450.2,527.4,0.7630685675492195,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9526137135098439
Regulatory,0.7373892449618187,0.16342385282108107,0.042317156674053565,0.3420464865130206,0.3367196294450903,0.3280190974254901,0.8045112781954887,0.03663793103448276,0.037582903463522443,-0.05738597685500335,0.9454887218045113,0.0037593984962406013,0.05075187969924812,439.8,480.8,447.5,0.8499660556687033,2.0,0.864781263809103,3.0,0.15687533565274292,9.0,0.9243241810564817,2.0,0.8045112781954887,2.0,0.884769389415341,7.0,0.0,11.0,0.7080376257537812
Outcome_Pred_Model,0.6346519501294295,0.12283428710211144,0.1412225066046985,0.3808425720620843,0.37715218955876656,0.3788554440728354,0.7706766917293233,-0.09192639257294433,-0.07178825841316638,-0.036472760849492136,0.8477443609022557,0.011278195488721804,0.14097744360902256,439.4,436.79999999999995,440.3,0.6235573659198912,5.0,0.7417145382235967,5.0,0.46413591029835854,6.0,0.7875509704797572,4.0,0.7706766917293233,3.0,0.6154478007655648,9.0,0.2595580111844382,9.0,0.6833195260313307
Bank,0.6535373924100928,0.14004462727120934,0.12952385152394907,0.3661423981058684,0.3663012788573326,0.36595154385209633,0.768796992481203,-0.14423076923076927,-0.11852124785065088,-0.02994067482387841,0.8627819548872181,0.0,0.13721804511278196,436.5,439.1,436.20000000000005,0.4093686354378816,6.0,0.5735749005744588,6.0,0.5601064442102999,4.0,0.8126929851502993,3.0,0.768796992481203,4.0,0.6473035130563819,8.0,0.14950308482657879,10.0,0.6639524099521774
Compromise Programming,0.3598516145381418,0.06120008621867363,0.0020372563504836108,0.46650541487498004,0.41711971064238124,0.2648176332088919,0.543233082706767,-0.057443633952254713,-0.06558585114222548,-0.06806345405567193,0.6052631578947368,0.39097744360902253,0.0037593984962406013,414.5,456.5,422.79999999999995,0.7647657841140526,3.0,0.7640300486080425,4.0,0.0,11.0,0.42171182484427633,5.0,0.543233082706767,5.0,0.9944525031539362,6.0,0.6536901069306789,8.0,0.45458875487437256
Nash Social Welfare,0.08548423527912237,0.016425134564884106,0.0,0.6367490956532053,0.4353558840355054,0.16419961237034408,0.2575187969924812,0.21128978779840848,0.24619258167526406,-0.02291021671826632,0.2744360902255639,0.7236842105263158,0.0018796992481203006,384.0,409.9,394.29999999999995,0.13475899524779344,8.0,0.11422889969067607,8.0,0.6633991466326834,2.0,0.05644906997030472,8.0,0.2575187969924812,8.0,1.0,1.0,0.9400123968167604,5.0,0.2739289611671488
Proportional Fairness,0.08548423527912237,0.016425134564884106,0.0,0.6367490956532053,0.4353558840355054,0.16419961237034408,0.2575187969924812,0.21128978779840848,0.24619258167526406,-0.02291021671826632,0.2744360902255639,0.7236842105263158,0.0018796992481203006,384.0,409.9,394.29999999999995,0.13475899524779344,8.0,0.11422889969067607,8.0,0.6633991466326834,2.0,0.05644906997030472,8.0,0.2575187969924812,8.0,1.0,1.0,0.9400123968167604,5.0,0.2739289611671488
Applicant,0.043082476044991456,0.010720737108942151,0.0,0.3067840567840568,0.3931240657698057,0.10729906102894766,0.15977443609022557,0.03100132625994695,0.03420535494964383,-0.06060606060606055,0.16541353383458646,0.8345864661654135,0.0,372.8,397.09999999999997,380.7,0.8730482009504412,1.0,0.876933274414494,2.0,0.10956531009301507,10.0,0.0,11.0,0.15977443609022557,11.0,1.0,1.0,0.9764902953220379,2.0,0.26043247664478153
Kalai-Smorodinsky,0.09677223414573453,0.014854975940739841,0.36723884790112665,0.3780700977352585,0.45165624019634976,0.26481237573298616,0.34210526315789475,0.24378315649867371,0.2779415377057234,-0.03542837676716071,0.3007518796992481,0.40037593984962405,0.29887218045112784,386.0,304.2,387.0,0.0016972165648335702,10.0,0.0,11.0,0.47948018127051906,5.0,0.07147667847889708,7.0,0.34210526315789475,7.0,0.0,10.0,0.9500530868933361,3.0,0.24737292052600784
Maximin,0.07665995278390599,0.015405082651527801,0.0,0.30269506737668445,0.4230194319880418,0.14620233307663785,0.2349624060150376,0.1850132625994695,0.2087939081306804,-0.03952569169960474,0.2518796992481203,0.7481203007518797,0.0,380.8,407.59999999999997,390.8,0.24236252545824832,7.0,0.24878479893946082,7.0,0.4192817239737051,7.0,0.04470138428444182,10.0,0.2349624060150376,10.0,1.0,1.0,0.9465353206580448,4.0,0.23525408914929408
Nash Bargaining,0.10360584874758191,0.017186523171268536,0.36723884790112665,0.37610759759227275,0.45688792928454114,0.2704772370690214,0.35526315789473684,0.24419761273209545,0.27186195038074185,-0.04468412942989208,0.3176691729323308,0.38345864661654133,0.29887218045112784,387.4,306.40000000000003,388.5,0.0,11.0,0.021873619089703755,10.0,0.3434930676109521,8.0,0.0805742064064476,6.0,0.35526315789473684,6.0,0.0,10.0,0.9351435466846864,7.0,0.2269187179613747
