Actor/Criterion,Total_Profit,Total_Loss,Unexploited_Profit,Precision,Recall,F1 Score,Accuracy,Demographic_Parity,Equal_Opportunity,Conditional_Outcome_Parity,Percent_Grant,Percent_Grant_lower,Percent_Not_Grant,Total Real Payoff (Bank),Total Real Payoff (Applicant),Total Real Payoff (Regulatory),Demographic_Parity Normalized,Demographic_Parity Rank,Equal_Opportunity Normalized,Equal_Opportunity Rank,Conditional_Outcome_Parity Normalized,Conditional_Outcome_Parity Rank,Total_Profit Normalized,Total_Profit Rank,Accuracy Normalized,Accuracy Rank,Unexploited_Profit Normalized,Unexploited_Profit Rank,Total_Loss Normalized,Total_Loss Rank,Weighted Normalized-Sum
Oracle,0.7827151327953432,0.0073965695425111016,0.0,1.0,1.0,1.0,1.0,-0.06600807196180325,0.0,0.0,0.8206214689265536,0.010828625235404897,0.16854990583804144,2101.0,1762.8,2104.4,0.6395938355177878,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9279187671035577
Regulatory,0.7151239482187347,0.161659964675739,0.052263962582214954,0.36314338093697524,0.34934951297608635,0.3453447888589398,0.7871939736346516,0.05759318367669941,0.05096545571894284,-0.07275999084649143,0.9260828625235404,0.0014124293785310734,0.07250470809792843,1733.1,1870.3,1763.0000000000002,0.6855393921935766,2.0,0.7583262668499078,3.0,0.0,11.0,0.9075206788135033,2.0,0.7871939736346516,2.0,0.8366232665815504,7.0,0.0,11.0,0.6334896036552766
Outcome_Pred_Model,0.6217090244813236,0.12369732668781151,0.13892912641610078,0.3846257675788718,0.37971465537595983,0.38169077004001445,0.7617702448210922,-0.0835448046638001,-0.06789022129223476,-0.050024231010177056,0.8432203389830508,0.009416195856873822,0.14736346516007534,1741.6,1725.2,1742.9,0.5438427192856117,5.0,0.6780705088842757,4.0,0.31247612282252946,8.0,0.7797089117903544,4.0,0.7617702448210922,3.0,0.5657086502992162,9.0,0.24608973473675644,9.0,0.631913648708136
Bank,0.6334251018572343,0.12795682626348268,0.13593911138566186,0.38617711037637337,0.3900475538760522,0.38810089126162844,0.7598870056497176,-0.10439473475955574,-0.09725265464351929,-0.05727554179566563,0.8309792843691148,0.0,0.1690207156308851,1743.5,1688.0,1740.1000000000001,0.43000144029958254,6.0,0.5388364182188563,6.0,0.21281543428853356,9.0,0.7957390330181404,3.0,0.7598870056497176,4.0,0.5750554136215864,8.0,0.21847787275230773,10.0,0.5916659837811383
Compromise Programming,0.34951675944290655,0.06952092844932331,0.004032086814592446,0.4574706427325184,0.36169457779531794,0.2596439426060691,0.5310734463276836,-0.04147036323828113,-0.043191656423559044,-0.06880944111496201,0.60969868173258,0.3865348399246704,0.003766478342749529,1620.0,1813.1999999999998,1657.5,0.7735705026645543,1.0,0.7951889431464856,2.0,0.054295632607544775,10.0,0.4072911762432366,5.0,0.5310734463276836,5.0,0.9873957285272532,6.0,0.5972838608072953,8.0,0.4594608408341406
Applicant,0.051836232416068384,0.014981808897207047,0.0,0.2860847031059797,0.3521996890252521,0.1096974843465076,0.16290018832391714,0.08042153578305944,0.09574804832828368,-0.02518576971131714,0.1812617702448211,0.818738229755179,0.0,1459.6000000000001,1583.6,1498.4,0.5608958663401987,4.0,0.5459711297601295,5.0,0.6538513897774683,2.0,0.0,11.0,0.16290018832391714,11.0,1.0,1.0,0.9508292984985516,2.0,0.30810952655310025
Nash Bargaining,0.11707984448474307,0.022401235943854042,0.3198984426280182,0.37490853356189163,0.3721731252246805,0.2805188811920813,0.3686440677966102,0.1639874436149727,0.19008193115809463,-0.03784805002024205,0.3446327683615819,0.3865348399246704,0.2688323917137476,1550.4,1277.0,1552.9,0.10462336165922514,7.0,0.0986481086191604,7.0,0.47982332625503443,4.0,0.08926733558024158,6.0,0.3686440677966102,6.0,0.0,10.0,0.9027334618923413,7.0,0.2822004318175443
Kalai-Smorodinsky,0.10988475604670654,0.021441531377232793,0.3198984426280182,0.37407109650330755,0.3666271317268797,0.27459355152401327,0.3549905838041431,0.1831491202616793,0.21088537448664557,-0.03548309757851842,0.3295668549905838,0.4016007532956685,0.2688323917137476,1544.6,1268.0,1547.4,0.0,11.0,0.0,11.0,0.5123267998565251,3.0,0.07942290248153976,7.0,0.3549905838041431,7.0,0.0,10.0,0.9089546692357452,4.0,0.2603461739892702
Nash Social Welfare,0.101331561584665,0.02201867792590335,0.003421791758141227,0.4563780174541212,0.35511770760709194,0.16767279104986352,0.2702448210922787,0.17626421166477618,0.19730897460668523,-0.046039465593381346,0.3041431261770245,0.6930320150659134,0.002824858757062147,1507.3000000000002,1643.1999999999998,1551.1,0.03759181909837239,8.0,0.06437810072419259,8.0,0.36724200954731945,6.0,0.06772028737306825,8.0,0.2702448210922787,8.0,0.989303506043885,4.0,0.9052133633467356,5.0,0.2026087516406635
Proportional Fairness,0.101331561584665,0.02201867792590335,0.003421791758141227,0.4563780174541212,0.35511770760709194,0.16767279104986352,0.2702448210922787,0.17626421166477618,0.19730897460668523,-0.046039465593381346,0.3041431261770245,0.6930320150659134,0.002824858757062147,1507.3000000000002,1643.1999999999998,1551.1,0.03759181909837239,8.0,0.06437810072419259,8.0,0.36724200954731945,6.0,0.06772028737306825,8.0,0.2702448210922787,8.0,0.989303506043885,4.0,0.9052133633467356,5.0,0.2026087516406635
Maximin,0.08855154572954023,0.020874975946593738,0.0,0.28704856211924895,0.34180614798739467,0.1500403506841275,0.24293785310734464,0.17797620617795248,0.19735419501506662,-0.04421578793438086,0.2763653483992467,0.7236346516007532,0.0,1494.2,1631.3999999999999,1537.5,0.028244274809160252,10.0,0.06416366950300678,10.0,0.39230630158177116,5.0,0.05023446879424098,10.0,0.24293785310734464,10.0,1.0,1.0,0.912627319057498,3.0,0.19133215027997236
